#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       cons_rho         cons_rho_v1      cons_rho_v2      cons_rho_v3      cons_rho_e       dsdu_ut          density       
        0  0.00000000e+00  1.00000000e+00   2.21887283e-03   2.28866191e-03   3.01124498e-04   0.00000000e+00   1.14602158e-03   4.05099281e-02   4.22895068e-02   3.41171134e-03   0.00000000e+00   2.11674389e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00  -4.29373949e-17   1.02565822e+00
       10  1.17959017e-01  1.17957297e-02   5.59069803e-02   5.43542813e-02   1.15111209e-02   0.00000000e+00   2.95945890e-03   4.37469168e-01   4.32224474e-01   9.61664060e-02   0.00000000e+00   4.02411171e-02   7.99360578e-15   1.27497417e-16   8.17786679e-17   0.00000000e+00   9.15045817e-11   1.65299789e-02   1.02565822e+00
       20  2.35912555e-01  1.17950313e-02   1.01571488e-01   9.79594331e-02   2.42696966e-02   0.00000000e+00   8.89125220e-03   7.49898908e-01   7.48028165e-01   2.17024358e-01   0.00000000e+00   8.87253699e-02   1.11022302e-15   7.04201601e-17   1.20030050e-16   0.00000000e+00   6.07473627e-10   1.90890546e-02   1.02565822e+00
       30  3.53860382e-01  1.17946859e-02   1.32071159e-01   1.25647151e-01   3.78442234e-02   0.00000000e+00   1.59307519e-02   9.12442879e-01   9.12130077e-01   3.46756033e-01   0.00000000e+00   1.54013321e-01   5.10702591e-15   1.74540534e-17   1.40193235e-16   0.00000000e+00   2.10639239e-09   1.05162812e-02   1.02565822e+00
       40  4.71808445e-01  1.17949633e-02   1.48364011e-01   1.38358170e-01   5.08716650e-02   0.00000000e+00   2.24206250e-02   9.86241248e-01   9.86108938e-01   4.53584824e-01   0.00000000e+00   2.03371534e-01   2.22044605e-15   4.22288010e-17   5.20990121e-17   0.00000000e+00   3.02267589e-09   3.54263190e-03   1.02565822e+00
       50  5.89760168e-01  1.17953205e-02   1.55413880e-01   1.41130711e-01   6.26583321e-02   0.00000000e+00   2.77970853e-02   1.00211933e+00   1.00207498e+00   5.35323624e-01   0.00000000e+00   2.41957961e-01   1.77635684e-15   3.64740538e-17   1.62685927e-16   0.00000000e+00   3.65847175e-09   9.37792620e-04   1.02565822e+00
       60  7.07714490e-01  1.17954890e-02   1.57766320e-01   1.38688262e-01   7.30553308e-02   0.00000000e+00   3.23625881e-02   1.00438396e+00   1.00436597e+00   6.33390819e-01   0.00000000e+00   2.78231799e-01   3.55271368e-15   9.26195073e-18   8.36207047e-17   0.00000000e+00   4.15928447e-09  -4.74287654e-04   1.02565822e+00
       70  8.25668382e-01  1.17951944e-02   1.58236799e-01   1.34033971e-01   8.21772418e-02   0.00000000e+00   3.65313771e-02   9.98192634e-01   9.98224107e-01   6.97316795e-01   0.00000000e+00   3.12382544e-01   3.33066907e-15   2.56936090e-17   1.04603531e-16   0.00000000e+00   3.62623620e-09  -2.90798790e-06   1.02565822e+00
       80  9.43614598e-01  1.17940348e-02   1.58288352e-01   1.28844814e-01   9.01799878e-02   0.00000000e+00   4.03860311e-02   9.96745195e-01   9.96776057e-01   7.60986844e-01   0.00000000e+00   3.43287059e-01   1.11022302e-15   7.79522355e-18   6.04162180e-17   0.00000000e+00   2.22373187e-09  -1.10192571e-04   1.02565822e+00
       90  1.06154694e+00  1.17926351e-02   1.58172874e-01   1.23750957e-01   9.68691593e-02   0.00000000e+00   4.40577379e-02   9.98593718e-01   9.98606628e-01   8.51654057e-01   0.00000000e+00   3.70212737e-01   2.66453526e-15   1.37354686e-16   1.03309360e-16   0.00000000e+00   7.19402315e-10  -5.15325155e-04   1.02565822e+00
      100  1.17946873e+00  1.17919254e-02   1.58162755e-01   1.19269844e-01   1.02315591e-01   0.00000000e+00   4.75578268e-02   9.99040616e-01   9.99054259e-01   8.74433535e-01   0.00000000e+00   3.91986046e-01   1.33226763e-15   1.47880611e-17   9.07645288e-17   0.00000000e+00   1.13343601e-09   2.38183815e-04   1.02565822e+00
      110  1.29738674e+00  1.17917290e-02   1.58221324e-01   1.15700820e-01   1.06418599e-01   0.00000000e+00   5.07949374e-02   1.00063750e+00   1.00064252e+00   8.80184142e-01   0.00000000e+00   4.08784736e-01   6.66133815e-16   1.71175689e-17   1.91537314e-17   0.00000000e+00   3.21951665e-09  -4.22270774e-04   1.02565822e+00
      120  1.41530330e+00  1.17916015e-02   1.58156700e-01   1.13198409e-01   1.08986232e-01   0.00000000e+00   5.38080295e-02   1.00180856e+00   1.00180763e+00   9.50084277e-01   0.00000000e+00   4.21735079e-01   2.22044605e-16   2.54735999e-17   2.91188484e-18   0.00000000e+00   5.02859177e-09  -3.24120283e-04   1.02565822e+00
      130  1.53321891e+00  1.17915307e-02   1.58149514e-01   1.12008824e-01   1.10193910e-01   0.00000000e+00   5.65409556e-02   1.00062161e+00   1.00063124e+00   9.23202832e-01   0.00000000e+00   4.37794857e-01   3.77475828e-15   5.07875854e-17   8.72918365e-17   0.00000000e+00   6.58459598e-09   1.00716037e-04   1.02565822e+00
      140  1.65113302e+00  1.17912436e-02   1.58083965e-01   1.12229848e-01   1.09878255e-01   0.00000000e+00   5.89819050e-02   9.99674538e-01   9.99688916e-01   9.14233553e-01   0.00000000e+00   4.58133734e-01   3.10862447e-15   7.43328705e-17   6.52995567e-17   0.00000000e+00   7.54776330e-09  -5.06180540e-04   1.02565822e+00
      150  1.76904155e+00  1.17904791e-02   1.57965751e-01   1.13858085e-01   1.08021367e-01   0.00000000e+00   6.11882495e-02   9.99651223e-01   9.99662604e-01   9.17552948e-01   0.00000000e+00   4.74900538e-01   7.54951657e-15   7.02001510e-17   1.79846635e-17   0.00000000e+00   7.87135246e-09  -8.52228487e-05   1.02565822e+00
      160  1.88694179e+00  1.17897026e-02   1.57952700e-01   1.16785929e-01   1.04827588e-01   0.00000000e+00   6.31153732e-02   9.99448077e-01   9.99460371e-01   8.76570965e-01   0.00000000e+00   4.87990135e-01   2.44249065e-15   3.97224231e-17   1.74730346e-16   0.00000000e+00   8.01402278e-09  -1.82428587e-04   1.02565822e+00
      170  2.00483672e+00  1.17893921e-02   1.57886318e-01   1.20743165e-01   1.00146311e-01   0.00000000e+00   6.48080196e-02   9.99625575e-01   9.99637567e-01   8.33457175e-01   0.00000000e+00   4.97340718e-01   3.10862447e-15   7.26116230e-17   3.23715316e-17   0.00000000e+00   7.98946376e-09  -1.00408346e-03   1.02565822e+00
      180  2.12273035e+00  1.17893479e-02   1.57825876e-01   1.25402706e-01   9.41459395e-02   0.00000000e+00   6.64306562e-02   1.00037547e+00   1.00038268e+00   7.81691163e-01   0.00000000e+00   5.02895538e-01   5.77315973e-15   2.06635976e-17   9.80205144e-17   0.00000000e+00   8.08046074e-09  -3.02800350e-03   1.02565822e+00
      190  2.24062341e+00  1.17892566e-02   1.57772538e-01   1.30412456e-01   8.69791355e-02   0.00000000e+00   6.83279770e-02   1.00017305e+00   1.00017842e+00   7.22640337e-01   0.00000000e+00   5.04670250e-01   1.99840144e-15   1.76356687e-16   1.40762670e-17   0.00000000e+00   8.69900285e-09  -9.98359526e-03   1.02565822e+00
      200  2.35851496e+00  1.17890522e-02   1.57506603e-01   1.35353801e-01   7.85519599e-02   0.00000000e+00   7.08713449e-02   9.98051324e-01   9.98068666e-01   6.54516519e-01   0.00000000e+00   5.03022483e-01   3.77475828e-15   2.96796558e-18   2.37092134e-17   0.00000000e+00   9.97178562e-09  -1.78194173e-02   1.02565822e+00
      210  2.47640366e+00  1.17886996e-02   1.56593089e-01   1.39437637e-01   6.90281341e-02   0.00000000e+00   7.36017968e-02   9.98899882e-01   9.98922960e-01   5.87667211e-01   0.00000000e+00   4.99007900e-01   4.66293670e-15   2.00510233e-16   1.13645473e-16   0.00000000e+00   1.20869870e-08  -1.73430576e-02   1.02565822e+00
      220  2.59428838e+00  1.17882961e-02   1.52932306e-01   1.40361070e-01   5.82115350e-02   0.00000000e+00   7.51498106e-02   1.00583710e+00   1.00576966e+00   4.89629575e-01   0.00000000e+00   4.93767866e-01   6.88338275e-15   2.15306922e-17   1.45296582e-16   0.00000000e+00   1.47949013e-08  -4.60899255e-03   1.02565822e+00
      230  2.71216986e+00  1.17880597e-02   1.42512569e-01   1.33903667e-01   4.60485711e-02   0.00000000e+00   7.43394094e-02   9.78351888e-01   9.78100988e-01   4.03530605e-01   0.00000000e+00   4.85559349e-01   2.22044605e-16   1.30474010e-16   2.12675441e-17   0.00000000e+00   1.77977575e-08   1.30241400e-02   1.02565822e+00
      240  2.83005013e+00  1.17880235e-02   1.20689176e-01   1.15235619e-01   3.31695326e-02   0.00000000e+00   7.12706002e-02   8.33721039e-01   8.31542222e-01   3.01986839e-01   0.00000000e+00   4.68672781e-01   5.10702591e-15   1.41879971e-16   2.22166028e-18   0.00000000e+00   2.10945532e-08   1.96079306e-02   1.02565822e+00
      250  2.94793075e+00  1.17881106e-02   8.46098361e-02   8.16106195e-02   2.01924941e-02   0.00000000e+00   6.75017203e-02   6.04081377e-01   6.02713724e-01   1.82438027e-01   0.00000000e+00   4.41376718e-01   5.77315973e-15   7.09335146e-17   7.72749527e-17   0.00000000e+00   2.44170892e-08   1.31036691e-02   1.02565822e+00
      260  3.06581271e+00  1.17882672e-02   3.65399175e-02   3.54577576e-02   7.85631142e-03   0.00000000e+00   6.49318853e-02   2.88054571e-01   2.79194666e-01   6.87296186e-02   0.00000000e+00   4.15726735e-01   2.22044605e-15   1.97835613e-17   4.75305883e-17   0.00000000e+00   2.74742189e-08   5.20864152e-03   1.02565822e+00
      267  3.14159265e+00  5.05008563e-03   8.44505073e-03   8.23414117e-03   1.84210648e-03   0.00000000e+00   6.44302430e-02   9.48950488e-02   9.64811952e-02   1.37453400e-02   0.00000000e+00   4.09322999e-01   2.66453526e-15   4.85616112e-17   7.76977152e-17   0.00000000e+00   2.91744700e-08   2.06024550e-03   1.02565822e+00
