  
 ----------------
 Bad Element Info
 ----------------
  
 Element         1222
          408.30328258703662        7.4455016358038870        0.0000000000000000     
          409.60000000000002        5.7128906601262504        0.0000000000000000     
          409.60000000000002        9.4482426986830141        0.0000000000000000     
          408.02489910129623        10.108890130138475        0.0000000000000000     
 Problems:
       Maximum Angle      149.15517337212262     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      4.0374E+00      1.9901E+00      1.9805E+00      3.2671E+00      2.2426E+00      6.4435E+01      1.2977E+02      1.0000E+00
      9.1550E+00      1.8668E+00      1.4891E+00      2.5765E+00      7.0107E+00      5.7508E+01      1.1908E+02      1.0000E+00
      1.4052E+01      1.4332E+00      1.3828E+00      2.2599E+00      1.0708E+01      7.2622E+01      1.0226E+02      1.0000E+00
      7.5630E+00      1.6647E+00      1.4351E+00      2.4630E+00      6.9855E+00      8.4527E+01      9.2368E+01      1.0000E+00
      8.6465E+00      1.6374E+00      1.3621E+00      2.2869E+00      8.5739E+00      8.9440E+01      9.0312E+01      1.0000E+00
      8.6918E+00      1.6669E+00      1.3666E+00      2.2876E+00      8.3613E+00      8.3931E+01      9.6071E+01      1.0000E+00
      9.9494E+00      1.5907E+00      1.3623E+00      2.2865E+00      9.2723E+00      8.7831E+01      9.4215E+01      1.0000E+00
      8.8877E+00      1.6371E+00      1.3549E+00      2.2678E+00      8.7797E+00      8.8464E+01      9.1644E+01      1.0000E+00
      9.2158E+00      1.6276E+00      1.3525E+00      2.2631E+00      9.0961E+00      8.8827E+01      9.0838E+01      1.0000E+00
      1.1026E+01      1.5051E+00      1.2930E+00      2.1095E+00      1.0465E+01      8.7027E+01      9.2537E+01      1.0000E+00
      9.7307E+00      1.6287E+00      1.3528E+00      2.2637E+00      9.7008E+00      8.9795E+01      9.0166E+01      1.0000E+00
      9.4278E+00      1.6643E+00      1.3791E+00      2.3288E+00      9.4269E+00      8.9994E+01      9.0007E+01      1.0000E+00
      9.3772E+00      1.6706E+00      1.3842E+00      2.3413E+00      9.3767E+00      8.9991E+01      9.0009E+01      1.0000E+00
      1.0008E+01      1.5920E+00      1.3598E+00      2.2783E+00      9.5848E+00      8.7620E+01      9.2392E+01      1.0000E+00
      9.5635E+00      1.6408E+00      1.3702E+00      2.3069E+00      9.4558E+00      8.9403E+01      9.0550E+01      1.0000E+00
      9.3027E+00      1.6271E+00      1.3565E+00      2.2729E+00      9.2049E+00      8.9435E+01      9.0297E+01      1.0000E+00
